iter	Logloss	Accuracy
0	0.6712937561	0.83501683511	0.6598717147	0.819865319922	0.6491835501	0.8164983163	3	0.6334097466	0.8198653194	4	0.617911221	0.819865319955	0.6040366062	0.8215488216	6	0.5910071415	0.8232323237	7	0.575857887	0.824915824988	0.5662410872	0.8249158249	9	0.5578102474	0.824915810	010	0.5479237936	0.826599311	011	0.5391546614	0.824915812	012	0.5310877766	0.826599313	013	0.5264834979	0.824915814	014	0.5205710197	0.82491515	0.15	0.5144977688	0.82491516	0.16	0.5091713675	0.82323217	0.17	0.5030814772	0.82491518	0.18	0.4979890118	0.82491519	0.19	0.4923952012	0.82491520	0.20	0.4871870822	0.82491521	0.21	0.4832833947	0.82491522	0.22	0.4777026229	0.82491523	0.23	0.4733171088	0.82659924	0.24	0.4702137167	0.8316425	0.425	0.4664842679	0.831626	0.4926	0.4599893506	0.83327	0.48627	0.4561844231	0.8328	0.482928	0.4532210512	0.8329	0.480029	0.4524212006	0.8330	0.476030	0.4487171193	0.831	0.4744131	0.4437120468	0.832	0.47332	0.4423163581	0.82933	0.433	0.4394381243	0.8299634	034	0.438172627	0.82996633335	0.4371116549	0.8316498316336	0.435656627	0.8316498316
37	0.4325615839	0.8333333333
38	0.4297236893	0.835016835
39	0.4288874099	0.835016835
40	0.4281744276	0.8367003367
41	0.4274031365	0.835016835
42	0.424669657	0.835016835
43	0.4241744555	0.8367003367
44	0.4235081887	0.835016835
45	0.4228564707	0.8367003367
46	0.4226869841	0.835016835
47	0.4210176658	0.835016835
48	0.4198042781	0.835016835
49	0.4185075136	0.8316498316
50	0.4170267612	0.835016835
51	0.4157372175	0.835016835
52	0.4156302194	0.8333333333
53	0.4139119277	0.8333333333
54	0.4121433855	0.835016835
55	0.411720256	0.835016835
56	0.4105841556	0.8333333333
57	0.4099188268	0.835016835
58	0.4086502357	0.8333333333
59	0.4079302691	0.8333333333
60	0.4075783546	0.8367003367
61	0.4062481627	0.835016835
62	0.4059562094	0.835016835
63	0.4051898919	0.835016835
64	0.4047880145	0.835016835
65	0.4037795461	0.8333333333
66	0.4028005421	0.8383838384
67	0.4015981893	0.8367003367
68	0.4010543238	0.8383838384
69	0.4008323971	0.835016835
70	0.3991748347	0.8400673401
71	0.3989900447	0.8400673401
72	0.3983391703	0.8417508418
73	0.3982220904	0.8400673401
74	0.3977124018	0.8417508418
75	0.3967928411	0.8417508418
76	0.396201542	0.8400673401
77	0.3958150624	0.8417508418
78	0.3947568369	0.8383838384
79	0.3944362326	0.8400673401
80	0.3940254328	0.8400673401
81	0.3940178659	0.8400673401
82	0.3938332759	0.8400673401
83	0.3935632465	0.8400673401
84	0.3929767997	0.8400673401
85	0.3926647188	0.8400673401
86	0.3921613644	0.8400673401
87	0.3921309685	0.8400673401
88	0.3920086034	0.8417508418
89	0.3917674499	0.8383838384
90	0.3911605835	0.8383838384
91	0.3908679471	0.8383838384
92	0.3905457896	0.8400673401
93	0.3905422993	0.8417508418
94	0.3897132486	0.8400673401
95	0.3892718218	0.8417508418
96	0.3890720067	0.8383838384
97	0.3883712584	0.8400673401
98	0.3880097744	0.8451178451
99	0.3873448266	0.8451178451
100	0.3870087391	0.8468013468
101	0.386752552	0.8434343434
102	0.3863356217	0.8468013468
103	0.3855418211	0.8434343434
104	0.3849443693	0.8451178451
105	0.3846372509	0.8484848485
106	0.3842129541	0.8468013468
107	0.3836993248	0.8468013468
108	0.3829991635	0.8468013468
109	0.3827174506	0.8468013468
110	0.3812703462	0.8468013468
111	0.3811859408	0.8468013468
112	0.3810154394	0.8468013468
113	0.380388778	0.8484848485
114	0.3798773429	0.8535353535
115	0.3798065831	0.8518518519
116	0.3798057643	0.8518518519
117	0.3796701648	0.8518518519
118	0.3796698147	0.8518518519
119	0.37964522	0.8518518519
120	0.3793979409	0.8518518519
121	0.3788934002	0.8535353535
122	0.3785527271	0.8518518519
123	0.3780128171	0.8535353535
124	0.3778653103	0.8501683502
125	0.3769110431	0.8518518519
126	0.3769056776	0.8518518519
127	0.3767813463	0.8501683502
128	0.3766331561	0.8484848485
129	0.3765918518	0.8484848485
130	0.3764002011	0.8484848485
131	0.3762416605	0.8468013468
132	0.3753073596	0.8468013468
133	0.3751889447	0.8468013468
134	0.375096584	0.8484848485
135	0.3750156678	0.8468013468
136	0.3750105782	0.8468013468
137	0.3745161996	0.8468013468
138	0.3743999334	0.8468013468
139	0.3734805871	0.8468013468
140	0.3734365106	0.8484848485
141	0.3730456664	0.8484848485
142	0.3727837079	0.8501683502
143	0.3711666888	0.8518518519
144	0.3709256772	0.8518518519
145	0.3708865684	0.8518518519
146	0.3708576471	0.8518518519
147	0.3701747295	0.8518518519
148	0.3701747295	0.8518518519
149	0.3701599805	0.8501683502
150	0.3699655718	0.8484848485
151	0.3696615078	0.8501683502
152	0.3695277797	0.8501683502
153	0.3691298794	0.8501683502
154	0.3691298786	0.8501683502
155	0.3689259582	0.8484848485
156	0.3688939099	0.8484848485
157	0.3688278449	0.8468013468
158	0.3677362984	0.8484848485
159	0.3677023017	0.8484848485
160	0.3676898097	0.8484848485
161	0.3675319322	0.8484848485
162	0.3673267764	0.8468013468

