iter	Logloss	Accuracy
0	0.6477307336	0.8113772455
1	0.6094334932	0.8083832335
2	0.5853114319	0.8098802395
3	0.5633019505	0.8098802395
4	0.5377819668	0.8098802395
5	0.5233097012	0.8098802395
6	0.5140926062	0.8098802395
7	0.500453245	0.8098802395
8	0.4890898324	0.8083832335
9	0.4789372638	0.8083832335
10	0.4717726321	0.8098802395
11	0.4659220643	0.8143712575
12	0.4650442076	0.8098802395
13	0.4579672312	0.8098802395
14	0.4515917621	0.8098802395
15	0.4497577347	0.8143712575
16	0.4446614991	0.8128742515
17	0.4427084349	0.8068862275
18	0.4407424312	0.8128742515
19	0.4372463373	0.8068862275
20	0.4361307652	0.8083832335
21	0.4349193485	0.8098802395
22	0.433089767	0.8098802395
23	0.4286920965	0.8113772455
24	0.4277075973	0.8113772455
25	0.4262447976	0.8113772455
26	0.4258677688	0.8113772455
27	0.4251985915	0.8098802395
28	0.4225487029	0.8083832335
29	0.4218152771	0.8068862275
30	0.4195661058	0.8143712575
31	0.4194065057	0.8098802395
32	0.4181767267	0.8203592814
33	0.4160934373	0.8308383234
34	0.4154730847	0.8338323353
35	0.4153451065	0.8338323353
36	0.4152653553	0.8338323353
37	0.4143580523	0.8323353293
38	0.4102144822	0.8248502994
39	0.4082982175	0.8293413174
40	0.4067015143	0.8308383234
41	0.4058492504	0.8323353293
42	0.4051106504	0.8338323353
43	0.4046171341	0.8308383234
44	0.4043475509	0.8338323353
45	0.4025657427	0.8308383234
46	0.4021507194	0.8338323353
47	0.4011604339	0.8353293413
48	0.4011362439	0.8353293413
49	0.4003857789	0.8368263473
50	0.4003470529	0.8368263473
51	0.3992120505	0.8383233533
52	0.3983748233	0.8398203593
53	0.3971372952	0.8368263473
54	0.3963347345	0.8383233533
55	0.3956493532	0.8383233533
56	0.3956089011	0.8383233533
57	0.3954881289	0.8383233533
58	0.3952399955	0.8383233533
59	0.3951413223	0.8368263473
60	0.3950185659	0.8368263473
61	0.3950185156	0.8383233533
62	0.3946759852	0.8383233533
63	0.3941430767	0.8383233533
64	0.3934075757	0.8383233533
65	0.3930644585	0.8383233533
66	0.3930405037	0.8383233533
67	0.3926139302	0.8383233533
68	0.392567283	0.8383233533
69	0.3912698685	0.8383233533
70	0.3912302533	0.8383233533
71	0.391159825	0.8383233533
72	0.3910611256	0.8383233533
73	0.3910162593	0.8383233533
74	0.38825085	0.8383233533
75	0.3866901251	0.8398203593
76	0.3848549197	0.8398203593
77	0.3836293942	0.8398203593
78	0.3835474919	0.8398203593
79	0.3834578971	0.8398203593
80	0.383265441	0.8398203593
81	0.3831938777	0.8398203593
82	0.3831279442	0.8413173653
83	0.382906087	0.8413173653
84	0.382835594	0.8413173653
85	0.3823047612	0.8398203593
86	0.3813455722	0.8458083832
87	0.3813156211	0.8458083832
88	0.3799537645	0.8473053892
89	0.3794066643	0.8473053892
90	0.3793788187	0.8473053892
91	0.3788224791	0.8488023952
92	0.3787504805	0.8458083832
93	0.373539402	0.8488023952
94	0.3735384461	0.8488023952
95	0.3722805588	0.8532934132
96	0.3722068854	0.8532934132
97	0.3715820334	0.8532934132
98	0.371366349	0.8502994012
99	0.3707231761	0.8532934132
100	0.3706027694	0.8532934132
101	0.3683751036	0.8562874251
102	0.3683207426	0.8562874251
103	0.3670478445	0.8517964072
104	0.3663237125	0.8517964072
105	0.3662044066	0.8517964072
106	0.364615703	0.8562874251
107	0.3633305727	0.8577844311
108	0.3617612873	0.8592814371
109	0.3606462323	0.8637724551
110	0.3600385927	0.8637724551
111	0.3588741658	0.8637724551
112	0.3579856703	0.8622754491
113	0.3567464322	0.8637724551
114	0.3560417543	0.8637724551
115	0.353859225	0.8622754491
116	0.3537981304	0.8622754491
117	0.3537452677	0.8622754491
118	0.3533644338	0.8637724551
119	0.3523598632	0.8667664671
120	0.3515219275	0.8652694611
121	0.3507420079	0.8667664671
122	0.3504031276	0.8637724551
123	0.3497259172	0.8637724551
124	0.3491744722	0.8667664671
125	0.3476636467	0.869760479
126	0.3472383474	0.8682634731
127	0.347195053	0.8682634731
128	0.3442571386	0.8682634731
129	0.3434323419	0.869760479
130	0.3432780565	0.869760479
131	0.3424808624	0.872754491
132	0.3422558395	0.872754491
133	0.3408877228	0.871257485
134	0.339489095	0.871257485
135	0.3390843604	0.871257485
136	0.3388891365	0.871257485
137	0.3377253505	0.872754491
138	0.3366211081	0.874251497
139	0.3363035975	0.874251497
140	0.3356111176	0.874251497
