iter	Passed	Remaining
0	100	99979
1	139	69575
2	178	59431
3	209	52186
4	268	53445
5	302	50077
6	335	47525
7	395	48982
8	436	48037
9	490	48557
10	543	48848
11	590	48617
12	608	46188
13	680	47919
14	744	48916
15	801	49306
16	859	49709
17	899	49062
18	935	48302
19	1000	49026
20	1031	48087
21	1096	48743
22	1152	48952
23	1222	49711
24	1276	49766
25	1309	49054
26	1343	48416
27	1390	48261
28	1435	48074
29	1485	48024
30	1525	47684
31	1546	46795
32	1575	46177
33	1631	46340
34	1658	45733
35	1690	45256
36	1712	44583
37	1763	44646
38	1826	44998
39	1869	44871
40	1928	45102
41	1964	44820
42	2008	44692
43	2043	44408
44	2064	43819
45	2136	44308
46	2189	44390
47	2238	44405
48	2261	43882
49	2302	43743
50	2338	43508
51	2399	43750
52	2447	43730
53	2510	43975
54	2555	43909
55	2612	44041
56	2645	43765
57	2670	43378
58	2710	43222
59	2738	42908
60	2770	42640
61	2790	42211
62	2832	42121
63	2864	41899
64	2916	41950
65	2964	41948
66	2992	41675
67	3054	41860
68	3105	41905
69	3167	42081
70	3199	41869
71	3224	41559
72	3272	41561
73	3317	41512
74	3368	41542
75	3429	41694
76	3495	41899
77	3557	42048
78	3585	41800
79	3650	41982
80	3689	41862
81	3719	41645
82	3745	41385
83	3775	41175
84	3800	40911
85	3861	41041
86	3935	41295
87	3972	41167
88	4034	41294
89	4088	41336
90	4114	41102
91	4171	41172
92	4209	41055
93	4271	41167
94	4312	41078
95	4363	41087
96	4407	41034
97	4451	40970
98	4486	40827
99	4546	40920
100	4584	40807
101	4648	40927
102	4679	40751
103	4737	40814
104	4803	40945
105	4829	40730
106	4886	40783
107	4953	40911
108	5025	41079
109	5083	41128
110	5115	40972
111	5168	40981
112	5226	41029
113	5282	41054
114	5342	41116
115	5400	41155
116	5444	41090
117	5479	40956
118	5543	41043
119	5597	41045
120	5662	41137
121	5717	41147
122	5776	41189
123	5830	41188
124	5887	41212
125	5945	41239
126	6011	41322
127	6043	41172
128	6098	41174
129	6162	41243
130	6210	41200
131	6265	41197
132	6296	41046
133	6356	41082
134	6413	41095
135	6477	41150
136	6537	41184
137	6590	41169
138	6656	41233
139	6712	41231
140	6770	41247
141	6828	41257
142	6890	41295
143	6954	41342
144	7020	41398
145	7079	41409
146	7142	41447
147	7202	41464
148	7249	41402
149	7310	41426
150	7372	41449
