iter	Passed	Remaining
0	27	2771
1	64	3150
2	98	3193
3	127	3063
4	156	2980
5	191	2998
6	221	2943
7	256	2952
8	285	2890
9	318	2865
10	346	2800
11	371	2727
12	396	2654
13	422	2594
14	449	2547
15	475	2494
16	503	2458
17	530	2415
18	557	2377
19	589	2357
20	615	2313
21	643	2280
22	672	2250
23	697	2209
24	729	2189
25	763	2174
26	795	2149
27	832	2140
28	869	2128
29	911	2127
30	952	2120
31	989	2101
32	1023	2077
33	1064	2065
34	1103	2049
35	1140	2028
36	1171	1993
37	1202	1962
38	1231	1926
39	1260	1890
40	1285	1849
41	1309	1808
42	1333	1767
43	1357	1728
44	1381	1688
45	1405	1650
46	1428	1611
47	1454	1575
48	1477	1537
49	1502	1502
50	1527	1467
51	1553	1433
52	1584	1405
53	1611	1372
54	1635	1337
55	1660	1304
56	1685	1271
57	1709	1238
58	1734	1205
59	1758	1172
60	1783	1140
61	1809	1108
62	1833	1076
63	1857	1044
64	1880	1012
65	1904	981
66	1927	949
67	1952	918
68	1982	890
69	2013	862
70	2046	835
71	2075	807
72	2106	779
73	2135	750
74	2168	722
75	2202	695
76	2236	667
77	2265	638
78	2304	612
79	2340	585
80	2373	556
81	2406	528
82	2443	500
83	2476	471
84	2507	442
85	2538	413
86	2570	384
87	2606	355
88	2641	326
89	2673	297
90	2701	267
91	2728	237
92	2759	207
93	2790	178
94	2818	148
95	2845	118
96	2869	88
97	2894	59
98	2919	29
99	2943	0
