iter	Logloss
0	0.5795409577
1	0.4935072364
2	0.4287021145
3	0.37784489
4	0.3386413834
5	0.308889419
6	0.283710323
7	0.2644511584
8	0.2440065
9	0.2282939822
10	0.2148709904
11	0.2068893758
12	0.1986935876
13	0.192657885
14	0.1871439715
15	0.1822979814
16	0.1789174768
17	0.1759973553
18	0.1737578943
19	0.1714492119
20	0.1692883543
21	0.1678108502
22	0.1664752888
23	0.1653520185
24	0.1642173324
25	0.1627568891
26	0.1615897434
27	0.1604623009
28	0.1597048489
29	0.1589438625
30	0.1583398262
31	0.1580367647
32	0.1574985521
33	0.1569899833
34	0.1565347276
35	0.1562305671
36	0.1558001291
37	0.1554668706
38	0.1551393399
39	0.1549642234
40	0.1548257567
41	0.1546748293
42	0.1545245093
43	0.1540978645
44	0.1538612958
45	0.1536302361
46	0.1533192546
47	0.1528922356
48	0.1526977253
49	0.1526000557
50	0.1523380839
51	0.152283607
52	0.1521137337
53	0.1519292933
54	0.1518500937
55	0.1517675161
56	0.1516432228
57	0.1514718984
58	0.1513777164
59	0.1513032345
60	0.1511654717
61	0.1510205499
62	0.1509154607
63	0.1508418763
64	0.1507204289
65	0.1505863393
66	0.1504877938
67	0.1503563009
68	0.1501440012
69	0.1500844295
70	0.1498467381
71	0.1497603453
72	0.1496636754
73	0.1494820329
74	0.1494239698
75	0.1491804384
76	0.1490041313
77	0.1489250676
78	0.1487827745
79	0.148742824
80	0.1486091241
81	0.1485092134
82	0.1483410688
83	0.1482429103
84	0.1481933919
85	0.1480862097
86	0.148033611
87	0.1479384101
88	0.1478010012
89	0.1477369429
90	0.1474881182
91	0.1473165339
92	0.1471981072
93	0.1470558742
94	0.146918137
95	0.1468316805
96	0.1467384583
97	0.1466156916
98	0.1464957076
99	0.1463937339
100	0.1462852315
101	0.1462290171
102	0.1461325835
103	0.1460739234
104	0.1459601803
105	0.1457303925
106	0.145701902
107	0.145629036
108	0.1455704438
109	0.1454616871
110	0.1453770236
111	0.1452083382
112	0.1451604032
113	0.1449150406
114	0.1448588967
115	0.1448137689
116	0.1447681396
117	0.1446789643
118	0.1445956413
119	0.1444718382
120	0.1441194132
121	0.1440727122
122	0.1439868492
123	0.143932982
124	0.1438719104
125	0.1437410302
126	0.1436499858
127	0.1435689966
128	0.143282427
129	0.1432404863
130	0.1429101894
131	0.1428269246
132	0.1426725706
133	0.1425488711
134	0.1424988935
135	0.1421816165
136	0.1419480514
137	0.1418138828
138	0.1416406739
139	0.1415107427
140	0.1414324558
141	0.1413724171
142	0.141333755
143	0.1412562191
144	0.141087901
145	0.141028206
146	0.1409439772
147	0.1408974001
148	0.1408062972
149	0.1407639164
150	0.1407258575
151	0.1406833513
152	0.1406619391
153	0.1405622002
154	0.1404298508
155	0.1403200215
156	0.1402504897
157	0.1401558713
158	0.1400583307
159	0.1399143147
160	0.1397317841
161	0.1396954764
162	0.1395908739
163	0.1395729696
164	0.1394905331
165	0.1394109367
166	0.1393324488
167	0.1392907531
168	0.1392431937
169	0.139194825
170	0.1390222468
171	0.1387855836
172	0.1386721026
173	0.1385714735
174	0.1385283348
175	0.1384906715
176	0.1384135537
177	0.1383658814
178	0.1382425819
179	0.1381436065
180	0.1380550385
181	0.1379664328
182	0.1378509918
183	0.1377772428
184	0.137680076
185	0.1375944728
186	0.1374648047
187	0.1373921834
188	0.1372641874
189	0.137194819
190	0.1371346737
191	0.1370574907
192	0.1370164343
193	0.1369632661
194	0.1368766386
195	0.1367964705
196	0.1366230412
197	0.1365690447
198	0.1363596753
199	0.1363163077
200	0.1362856759
201	0.136211693
202	0.1361154666
203	0.1360352585
204	0.1359950796
205	0.135912586
206	0.1358401556
207	0.1357817096
208	0.1357479547
209	0.1356945135
210	0.1356275622
211	0.1355947231
212	0.1355311058
213	0.1354487559
214	0.1353659928
215	0.1353111939
216	0.1352675682
217	0.1351499125
218	0.1350692227
219	0.1349684602
220	0.1349087848
221	0.1348069346
222	0.1347408822
223	0.1346901976
224	0.1346397721
225	0.1345514037
226	0.1344979624
227	0.1344282062
228	0.134394964
229	0.1343210543
230	0.134288011
231	0.1342372384
232	0.1341437033
233	0.1340365433
234	0.1339608985
235	0.1338524522
236	0.1337487263
237	0.1336644847
238	0.1335813924
239	0.133521908
240	0.1334488159
241	0.1334025888
242	0.1333501185
243	0.133303708
244	0.1332025332
245	0.133085346
246	0.1330484363
247	0.1329958401
248	0.1328484958
249	0.1327933114
250	0.1327152388
251	0.1326793341
252	0.1326464433
253	0.1325809336
254	0.1325142858
255	0.1324678728
256	0.1324159291
257	0.1323468657
258	0.1323002645
259	0.1322543606
260	0.132171313
261	0.1320340356
262	0.1319112491
263	0.1318818344
264	0.1318190821
265	0.1317951514
266	0.1317310142
267	0.1316848746
268	0.1316304402
269	0.1315935604
270	0.1315509316
271	0.1314773171
272	0.1314009544
273	0.1313483895
274	0.1312847628
275	0.1312699551
276	0.1311994086
277	0.1311450027
278	0.1310617375
279	0.1310050007
280	0.1309652216
281	0.1309409913
282	0.1309100855
283	0.1308485809
284	0.130797984
285	0.1307284645
286	0.1307082671
287	0.1306406943
288	0.1306134621
289	0.130543023
290	0.1304581413
291	0.1303464531
292	0.1302292059
293	0.130126575
294	0.1300969525
295	0.1299523581
296	0.1299024546
297	0.1298664722
298	0.1298155122
299	0.1297540938
