iter	Passed	Remaining
0	41	12341
1	105	15735
2	169	16795
3	245	18166
4	317	18708
5	411	20179
6	522	21884
7	604	22076
8	751	24311
9	845	24516
10	965	25359
11	1050	25204
12	1152	25448
13	1232	25171
14	1339	25450
15	1447	25698
16	1637	27256
17	1768	27711
18	1863	27561
19	1960	27441
20	2061	27392
21	2170	27429
22	2249	27091
23	2322	26709
24	2434	26780
25	2523	26595
26	2624	26538
27	2718	26407
28	2805	26221
29	2900	26106
30	2997	26009
31	3095	25921
32	3190	25811
33	3283	25686
34	3364	25471
35	3463	25400
36	3541	25171
37	3637	25077
38	3761	25171
39	3871	25167
40	3963	25035
41	4056	24921
42	4143	24763
43	4213	24517
44	4279	24249
45	4358	24065
46	4430	23850
47	4529	23782
48	4617	23655
49	4708	23541
50	4814	23508
51	4898	23364
52	5005	23328
53	5104	23254
54	5210	23210
55	5317	23169
56	5435	23173
57	5531	23080
58	5628	22990
59	5712	22848
60	5798	22719
61	5917	22717
62	6064	22813
63	6161	22722
64	6234	22540
65	6318	22401
66	6386	22209
67	6470	22076
68	6540	21897
69	6620	21753
70	6724	21689
71	6806	21553
72	6898	21450
73	6992	21354
74	7104	21314
75	7200	21221
76	7306	21159
77	7391	21037
78	7473	20906
79	7563	20800
80	7646	20672
81	7733	20560
82	7828	20468
83	7900	20316
84	7989	20207
85	8062	20061
86	8153	19963
87	8250	19876
88	8328	19746
89	8411	19626
90	8514	19555
91	8619	19487
92	8717	19403
93	8804	19295
94	8900	19206
95	8996	19117
96	9085	19013
97	9191	18945
98	9314	18910
99	9402	18805
100	9504	18726
101	9613	18662
102	9712	18575
103	9836	18537
104	9937	18455
105	10052	18398
106	10141	18292
107	10238	18202
108	10329	18100
109	10414	17989
110	10494	17868
111	10563	17731
112	10635	17599
113	10740	17523
114	10842	17441
115	10929	17336
116	10995	17197
117	11074	17080
118	11165	16982
119	11259	16889
120	11336	16769
121	11423	16666
122	11508	16561
123	11595	16458
124	11718	16405
125	11806	16304
126	11879	16182
127	11956	16067
128	12036	15955
129	12115	15843
130	12197	15735
131	12292	15644
132	12396	15565
133	12489	15472
134	12597	15397
135	12681	15292
136	12785	15212
137	12876	15115
138	12970	15022
139	13059	14925
140	13146	14824
141	13222	14712
142	13306	14608
143	13383	14498
144	13466	14395
145	13552	14294
146	13650	14207
147	13718	14088
148	13794	13980
149	13867	13867
150	13943	13758
151	14030	13661
152	14123	13569
153	14208	13470
154	14298	13375
155	14387	13280
156	14475	13185
157	14565	13090
158	14650	12992
159	14732	12890
160	14822	12796
161	14902	12694
162	14974	12585
163	15062	12490
164	15147	12393
165	15225	12290
166	15310	12193
167	15385	12088
168	15462	11985
169	15552	11892
170	15647	11804
171	15763	11731
172	15852	11637
173	15938	11542
174	16020	11443
175	16110	11350
176	16200	11258
177	16300	11172
178	16408	11091
179	16526	11017
180	16607	10918
181	16682	10815
182	16758	10714
183	16851	10623
184	16953	10538
185	17060	10456
186	17142	10358
187	17243	10272
188	17339	10183
189	17428	10090
190	17546	10013
191	17622	9912
192	17721	9824
193	17821	9737
194	17932	9656
195	18052	9578
196	18157	9493
197	18245	9399
198	18346	9311
199	18420	9210
200	18498	9111
201	18580	9014
202	18676	8924
203	18750	8823
204	18817	8720
205	18911	8629
206	19034	8551
207	19124	8458
208	19200	8360
209	19282	8263
210	19360	8166
211	19431	8065
212	19521	7973
213	19593	7874
214	19662	7773
215	19736	7675
216	19809	7577
217	19889	7481
218	19960	7382
219	20035	7285
220	20122	7193
221	20199	7096
222	20263	6996
223	20341	6901
224	20427	6809
225	20502	6713
226	20583	6619
227	20661	6524
228	20734	6428
229	20798	6330
230	20876	6235
231	20975	6148
232	21065	6057
233	21139	5962
234	21222	5869
235	21281	5771
236	21353	5676
237	21418	5579
238	21494	5486
239	21565	5391
240	21632	5296
241	21700	5200
242	21765	5105
243	21831	5010
244	21899	4916
245	21979	4824
246	22058	4733
247	22136	4641
248	22211	4549
249	22292	4458
250	22361	4365
251	22425	4271
252	22498	4179
253	22567	4087
254	22634	3994
255	22699	3901
256	22774	3810
257	22860	3721
258	22920	3628
259	22982	3535
260	23046	3443
261	23113	3352
262	23179	3260
263	23249	3170
264	23329	3081
265	23391	2989
266	23452	2898
267	23511	2807
268	23577	2717
269	23639	2626
270	23699	2536
271	23764	2446
272	23830	2356
273	23887	2266
274	23956	2177
275	24023	2089
276	24089	2000
277	24155	1911
278	24230	1823
279	24302	1735
280	24366	1647
281	24442	1560
282	24518	1472
283	24581	1384
284	24644	1297
285	24706	1209
286	24765	1121
287	24829	1034
288	24895	947
289	24965	860
290	25030	774
291	25098	687
292	25162	601
293	25218	514
294	25289	428
295	25368	342
296	25427	256
297	25495	171
298	25560	85
299	25627	0
